Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Light,Road_Surface,Traffic_Control,Collision_Location,Collision_Classification,Impact_type,Pedestrian
14-1,O'CONNOR ST @ SOMERSET ST,367855.71010,5031012.57390,-75.69434148230,45.41620737690,2014-01-01,12:42:00 AM,03 - Snow,07 - Dark,02 - Wet,01 - Traffic signal,00 - Unknown,03 - P.D. only,05 - Turning movement,0
14-2,DONALD ST @ ST. LAURENT BLVD,372094.21987,5032473.85233,-75.63999266150,45.42896049820,2014-01-01,1:04:00 AM,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
14-3,MURRAY ST btwn DALHOUSIE ST & CUMBERLAND ST,368162.07840,5032674.26171,-75.69021368960,45.43113099610,2014-01-01,1:52:00 AM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
14-4,ROTHESAY DR btwn GLAMORGAN DR & BALLANTRAE WAY,353727.27636,5016563.44851,-75.87627695260,45.28732281460,2014-01-01,2:05:00 AM,01 - Clear,07 - Dark,06 - Ice,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
14-5,RIDEAU ST btwn WALLER ST & CUMBERLAND ST,368287.31064,5032277.37244,-75.68866451270,45.42754857040,2014-01-01,2:20:00 AM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,02 - Angle,0
14-6,JOHN SUTHERLAND DR @ RICHMOND RD,358786.66491,5022150.24052,-75.81117580180,45.33722281440,2014-01-01,3:30:00 AM,01 - Clear,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,07 - SMV other,0
14-7,BOOTH ST @ SOMERSET ST,366592.70280,5030255.83813,-75.71057215620,45.40951116040,2014-01-01,12:19:00 AM,03 - Snow,07 - Dark,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
14-8,BRONSON AVE @ CATHERINE ST/RAYMOND ST,367252.20153,5029797.32696,-75.70220567990,45.40532707300,2014-01-01,6:07:00 AM,03 - Snow,07 - Dark,06 - Ice,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
14-9,BRIDLE PARK DR btwn RIVERGREEN CRES & WINDGATE CRES,355756.04615,5016211.90706,-75.85045201140,45.28401541840,2014-01-01,8:45:00 AM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
14-10,D'ARCY ST N @ SHIELDS DR N,378083.44724,5013725.56991,-75.56623882840,45.25967128090,2014-01-01,10:39:00 AM,01 - Clear,01 - Daylight,06 - Ice,02 - Stop sign,00 - Unknown,03 - P.D. only,07 - SMV other,0
