Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Light,Road_Surface,Traffic_Control,Collision_Location,Collision_Classification,Impact_type,Pedestrian
13-1,INDUSTRIAL AVE btwn TRAINYARDS DR & RUSSELL RD,372207.92618,5030394.03167,-75.63882422290,45.41023627150,2013-01-01,1:08:00 AM,01 - Clear,07 - Dark,04 - Slush,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
13-2,FISHER AVE @ MEADOWLANDS DR,366580.10881,5025045.30334,-75.71138522990,45.36262912610,2013-01-01,2:00:00 AM,03 - Snow,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,05 - Turning movement,0
13-3,HOCHELAGA ST btwn MONTREAL RD & GULF PL,372987.80929,5034433.17701,-75.62830266400,45.44650295590,2013-01-01,2:11:00 AM,01 - Clear,07 - Dark,05 - Packed snow,10 - No control,,03 - P.D. only,02 - Angle,0
13-4,NAVAHO DR btwn NAVAHO DR & DEERFIELD DR,363143.24398,5023998.29073,-75.75537609290,45.35350268040,2013-01-01,2:29:00 AM,01 - Clear,07 - Dark,05 - Packed snow,10 - No control,,03 - P.D. only,02 - Angle,0
13-5,RIVERSIDE DR SB btwn NEIL WAY & 82 E OF BILLINGS AVE/RIVERSIDE HOSPITA,369652.93168,5028555.15204,-75.67170409720,45.39393210460,2013-01-01,2:39:00 AM,03 - Snow,07 - Dark,02 - Wet,10 - No control,,03 - P.D. only,07 - SMV other,0
13-6,GUIGUES AVE btwn DALHOUSIE ST & CUMBERLAND ST,368039.90466,5032800.01292,-75.69175879890,45.43227351930,2013-01-01,3:10:00 AM,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
13-7,SECOND LINE RD btwn THOMAS A. DOLAN PKWY & MURPHY SIDE RD,342396.17650,5029084.15011,-76.01976788850,45.40068613580,2013-01-01,4:30:00 AM,01 - Clear,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,07 - SMV other,0
13-8,BLAIR RD @ REGIONAL RD 174 N/OR174 IC112 RAMP61,374635.33673,5032993.54951,-75.60744785890,45.43338733680,2013-01-01,10:07:00 AM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
13-9,MACLAREN ST btwn LYON ST N & KENT ST,367492.53913,5030693.03950,-75.69902188360,45.41336493920,2013-01-01,1:11:00 PM,01 - Clear,01 - Daylight,05 - Packed snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
13-10,EAGLESON RD btwn EAGLESON BUSINESS CENTRE & MICHAEL COWPLAND DR/STONEH,354335.87210,5016730.75893,-75.86850236270,45.28878568070,2013-01-01,1:30:00 PM,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,03 - Rear end,0
13-11,ALTA VISTA DR @ SMYTH RD,370438.11160,5029081.96276,-75.66160682700,45.39859899740,2013-01-01,3:50:00 PM,01 - Clear,01 - Daylight,99 - Other,01 - Traffic signal,01 - Functioning,03 - P.D. only,04 - Sideswipe,0
