Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Light,Road_Surface,Traffic_Control,Collision_Location,Collision_Classification,Impact_type,Pedestrian
15-1,LAURIER AVE @ O'CONNOR ST,367635.73684,5031359.05923,-75.69710760460,45.41934472950,2015-01-01,12:30:00 AM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
15-2,DAVID DR btwn HOWDEN AVE & SULLIVAN AVE,363134.90557,5022989.57100,-75.75560149290,45.34442700180,2015-01-01,3:11:00 AM,01 - Clear,07 - Dark,06 - Ice,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
15-3,EVEREST PRIV btwn RUSSELL RD & ST. LAURENT BLVD,372774.02800,5029748.43100,-75.63168178160,45.40437269550,2015-01-01,2:55:00 AM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,07 - SMV other,0
15-4,HUNT CLUB RD btwn MALAK ST & ESSON ST,374210.12054,5025666.52855,-75.61391295850,45.36750470240,2015-01-01,4:51:00 AM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,07 - SMV other,0
15-5,IRIS ST btwn TO BE DETERMINED & SOUTHWOOD DR,360768.61705,5023405.22045,-75.78574772280,45.34835980380,2015-01-01,8:44:00 AM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,02 - Non-fatal injury,07 - SMV other,0
15-6,JEANNE D'ARC BLVD btwn HARLEQUIN CRES & HARLEQUIN CRES,382379.49130,5039190.16377,-75.50750769080,45.48832295500,2015-01-01,4:00:00 AM,01 - Clear,07 - Dark,01 - Dry,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
15-7,MEADOWBROOK RD btwn PROGRESS PL & FOXWELL ST,374434.28467,5031621.52986,-75.61021113740,45.42106269020,2015-01-01,10:37:00 AM,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,03 - P.D. only,07 - SMV other,0
15-8,KING EDWARD AVE @ RIDEAU ST,368511.70720,5032414.67028,-75.68577936740,45.42876352300,2015-01-01,1:15:00 PM,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
15-9,BEATRICE DR @ STRANDHERD DR,365527.37700,5015322.92768,-75.72601396150,45.27524017040,2015-01-01,1:54:00 PM,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,02 - Non-fatal injury,05 - Turning movement,0
15-10,WEST HUNT CLUB RD WB btwn 354 E OF WOODROFFE AVE/REC PATH & CLEOPATRA,364715.16731,5021701.80208,-75.73559384530,45.33270660230,2015-01-01,3:44:00 PM,03 - Snow,01 - Daylight,06 - Ice,10 - No control,,03 - P.D. only,07 - SMV other,0
15-11,PINECREST RD/HWY 417 PINECRE IC129R63 @ TRANSI,360388.12548,5023678.92769,-75.79057228220,45.35085287650,2015-01-01,5:54:00 PM,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,03 - P.D. only,03 - Rear end,0
